goods_no,title,rating,content,author,date
S000000620371,참을 수 없는 존재의 가벼움,1,그렇다고 무거운것은 나쁜것일수밖에 없을까? 결국은 모두 가벼움으로 돌아간다고는 하지만 이 책속에 가벼움은 나에겐 단지 성적인 유희로 밖에 비춰지지 못한다. 단순한 동물적인 욕망으로의 회귀를 꿈꾸는건가??? 나에겐 이 책의 메세지는 똥이다. 차라리 무거운 삶을 살아갈련다.,pa******,2019-09-10
S000000620371,참을 수 없는 존재의 가벼움,4,쉽게 읽히면서도 철학적이다.,mi*******,2018-10-17
S000000620371,참을 수 없는 존재의 가벼움,4,고전은 고전이다!!!,fg****,2024-03-04
S000000620371,참을 수 없는 존재의 가벼움,4,"술술 책장을 넘길 수 있어요. 물론 가끔가다 약간 어려워 다시 앞 문장으로 돌아가지만 다시 돌아가 곱씹으며 책을 읽어내려갈 만큼의 충분한 가치가 있는 책이에요.
읽는 중이라 감상평을 쉽게 써내리진 못하겠지만 확실하게 말할 수 있는 한 가지는 한 줄 한 줄 읽으며 생각하게 되는 힘을 통해 어제보다 오늘의 내가 좀 더 발전한 사람임을 느끼게 해주는 책이에요. 재미있게 읽을게요 !",dl*******,2023-12-14
S000000620371,참을 수 없는 존재의 가벼움,4,필수 독서,gi******,2018-03-17
S000000620371,참을 수 없는 존재의 가벼움,4,많은 생각과 여운이 남는 명작...,kb***,2025-12-04
S000000620371,참을 수 없는 존재의 가벼움,4,우리가 고전을 읽어야 하는 이유!,od***,2025-12-02
S000000620371,참을 수 없는 존재의 가벼움,4,벼르고 벼르다 이제야 구매해서 읽네요!,dm******,2025-11-19
S000000620371,참을 수 없는 존재의 가벼움,4,정말 재미있어요…이번엔 거짓말이 아니라구요,ni*****,2025-11-16
S000000620371,참을 수 없는 존재의 가벼움,3,재밌어요 추천해여!!,pc*********************************,2025-11-10
S000000620166,농담,4,책은 좋은데 소장용이라서 깨끗한 책 받고 싶어서 새로 주문까지했는데 상태가 완전 별로인데도 새책이라고 해서 별로였어요. 수령 전에 전화로 확인할 때도 새책이라고 오라고 하셨는데 아니네요.,se*******,2019-12-01
S000000620166,농담,3,"농담
그냥 농담이였지만 그것도 내인생이겠지
사랑해야지",np****,2019-09-12
S000000620166,농담,4,"참존가의 주제를 선취하고 있는 쿤데라의 처녀작이자, 개인적으로 던진 농담이, 사회체제가 개인을 어떻게 짓누르는지 그리고 그것에대해 개인은 어떻게 의미부여를 할 것인지(혹은 의미부여를 과연 성공하는지) 우리에게 질문을 던지고 있다고 생각합니다.",yd*****,2025-07-21
S000000620166,농담,4,"가벼운 농담이 사실은 전혀 가볍지 않았을 수도 있다
그로 인해 인간 삶의 방향이 얼마나 틀어질 수 있는지",12****,2018-12-12
S000000620166,농담,4,멋진 책입니다. 고맙습니다,hy******,2018-03-02
S000000620166,농담,4,밀란 쿤데라와 친해지기...,la****,2025-11-05
S000000620166,농담,4,독서모임에서 함께 읽었던 책입니다. 고전의 미를 느낄 수 있습니다.,sy****,2025-10-27
S000000620166,농담,4,"밀란 쿤데라의 작품은 부분적으로 볼때와 전체로 볼때 다가오는 생각들이나 메시지들이 다르다는 점이 매우 매력적으로 다가온다. 
사랑 또한 결국엔 한심한 것일 수 밖에 없듯, 증오와 복수 또한 한심한 것으로 변화하는 날이 분명 올 수 밖에 없지 않을까.",wi********,2025-09-13
S000000620166,농담,4,농담으로 인한 사람의 삶이 얼마나 피폐해질 수 있는가,ma*********,2025-09-01
S000000620166,농담,4,빠르게 잘 받았습니다,an*******,2025-08-20
