goods_no,title,rating,content,author,date
104122261,천일문 기본 Basic 1001 Sentences,10,천일문 기본은 구문으로 영어를 다시 처음부터 세우고 싶은 학생에게 딱 중심에 놓인 교재라는 느낌이었습니다 기본 문장의 구조부터 가정법 관계사 등 수능에 자주 나오는 구문이 1001개의 예문 안에 잘 정리돼 있어서 한 권만 꾸준히 돌려도 문장 뼈대가 꽤 또렷해집니다  예문 난이도는 대략 중3에서 고1 초반 정도로 시작해서 뒤로 갈수록 조금씩 부담이 올라가는데 그래서 복습용이나 재도전용으로도 잘 맞았습니다 체계적으로 챕터가 나뉘어 있어서 오늘은 주어 내일은 목적어 이런 식으로 계획 세우기도 편했습니다  MP3와 해설서를 같이 활용하면 혼자 공부해도 해석 감이 빨리 잡히는 편이었고 구문분석 연습에도 도움이 됐습니다  다만 최근 기준으로 책값이 싸진 않다는 느낌이 있고 이미 구문에 익숙한 상위권에게는 예문이 다소 쉽게 느껴질 수 있습니다 그럼에도 기본기를 다시 다져야겠다는 마음이 들 때 가장 먼저 떠오르는 구문서라서 저는 입문과 상위 교재 사이를 이어 주는 브리지 역할로 꽤 만족하면서 공부했습니다#연말리뷰,q****6,2025-12-02
104122261,천일문 기본 Basic 1001 Sentences,10,"문장으로 문법과 어휘, 독해 등 여러가지를 다 잡을 수 있는 천일문 시리즈를 평소에도 너무 좋아하는데.. 중학생 아이가 시작할 책으로 이 교재를 주문했습니다. 문장을 하나씩 습득하면서 쉽게 다가갈 수 있어서 아이도 스트레스 안 받고 이 교재로 공부하는걸 좋아하네요.",c***s,2025-11-30
104122261,천일문 기본 Basic 1001 Sentences,10,항상 고등학교 입학하기 전에 한번은 봐야 아니 공부해야 하는 구문 연습에 필요한 책이라고 생각합니다.문법도 체계적으로 확인할 수 있고 고등학교 입학 전에 조금은 많이 생소한 단어들을 접할 수 있는 좋은 책이기도 합니다. 영어 독해에 도움이 됩니다.,t******7,2025-11-29
104122261,천일문 기본 Basic 1001 Sentences,10,유명해서 구입했어요필수문법책이비에스로 인강보고 집에서 선행해보려합나다미리구입해서겨울방학때 도전계획예전에 인강하신 선생님꺼 들어야할지여러선생님들이 하셨던데..고민해보고찾아봐야겠네요.잘듣고 잘공부해서문법마스터,s******6,2025-11-27
104122261,천일문 기본 Basic 1001 Sentences,10,천일문 기본 Basic 1001로 열심히 공부해 보려고 샀어요너무 좋아요한번 열심히 공부 해볼께요천일문 기본 Basic 1001로 열심히 공부해 보려고 샀어요너무 좋아요한번 열심히 공부 해볼께요천일문 기본 Basic 1001로 열심히 공부해 보려고 샀어요너무 좋아요한번 열심히 공부 해볼께요,q*****r,2025-11-22
104122261,천일문 기본 Basic 1001 Sentences,10,"거의 노베이스인데 영어 기본부터 차근차근 시작하기좋은 거 같아요 문법 설명도 잘되어있고 처음 기초쌓기에 정말 좋아용 특히 기본은 난이도가 그렇게 높지않아서 접근하기도 좋고 구문별로 내용이 구성되어있어서 핵심 내용을 쉽게 파악할 수 있어요 기본 빨리 끝낸 후에 핵심, 완성까지  열심히 해봐야겟어요!",s****a,2025-10-29
104122261,천일문 기본 Basic 1001 Sentences,10,"종속절 부분에서 구판은 명사절,형용사절,부사절 이렇게 설명을 하는데신판에서는 명사절 파트를 완전히 제외시켰구요대충 살펴보니 기존 지문 중 최소 절반 정도 이상은 교 체 한게 아닌가 싶네요.각 챕터마다 연습문제가 있었는데 그 부분은 생략됐구요.그리고. 아마 쉬운 부분이고 다른 챕터에서반복적으로 나와서 그런게 아닌가 싶은데 그래도 형식을 맞춘다는 면에서는 조금아쉬웠어요.",e******0,2025-10-18
104122261,천일문 기본 Basic 1001 Sentences,10,"기초부터 천천히 영어 문장을 익히면서 공부할 수 있어서 너무 좋아요, 어려운 영어공부를 차근차근히 공부해내갈수 있을 것 같아요 공부하는 책이 베스트셀러 인 이유가 있습니다. 책보면서 노력해보겠습니다. 공부를 천천히 꾸준히 하겠습니다.",p*******n,2025-10-01
104122261,천일문 기본 Basic 1001 Sentences,10,중2아들 학원교재 준비했어요영어 실력 조금씩 향상 되고 있어요영어학원에서 천일문 교재 처음으로 들어가는데 잘 따라갔으면 좋겠어요여러권 같이 사서 배송비 아꼈어요토스 페이 결재로 5만 이상구매 3천원 할인 받아서 쿠#보다 더 저렴하게 구해했어요,j******i,2025-09-30
104122261,천일문 기본 Basic 1001 Sentences,10,구문공부하기 좋은 책이에요!! 정말 좋은데 다만 학습법에 대한 방법이 조금 부족하기 때문에 유튜브 영상을 찾아서 천일문을 효율적으로 공부하면 더 도움되고 시너지가 날 거 같아요. 구문 자체로는 어렵지 않아서 공부하는데 꺼려지거나 거부감이 없어서 좋은거 같아요,j*****s,2025-08-27
